company,career_mentions,current_mentions,product_industry_ratio,service_industry_ratio,target_title_ratio,evidence_ratio,avg_title_score,avg_evidence_score,avg_core_skills,product_likelihood_score,service_likelihood_score,suggested_product_company,suggested_service_company,top_career_industries,top_current_industries
Meta,11,7,1.0,0.0,1.0,1.0,19.5455,18.7636,8.0909,119.9273,0.0,True,False,Internet:11,Internet:7
LinkedIn,7,4,1.0,0.0,1.0,1.0,19.2857,18.3429,7.4286,119.0857,0.0,False,False,Internet:7,Internet:4
Microsoft,10,5,1.0,0.0,1.0,1.0,18.1,17.13,8.2,118.28,0.0,True,False,Software:10,Software:5
Google,14,6,1.0,0.0,1.0,1.0,18.0714,15.55,7.6429,117.8,0.0,True,False,Internet:14,Internet:6
Adobe,10,2,1.0,0.0,1.0,1.0,18.4,16.81,7.1,117.76,0.0,True,False,Software:10,Software:2
Salesforce,13,4,1.0,0.0,1.0,1.0,17.8462,19.4231,7.9231,117.7538,0.0,True,False,Software:13,Software:4
Amazon,13,5,1.0,0.0,1.0,1.0,17.1538,21.5923,8.1538,117.1077,0.0,True,False,Internet:13,Internet:5
Mad Street Den,65,29,1.0,0.0,0.8462,1.0,13.6923,11.5385,5.9385,107.3354,0.0,True,False,AI/ML:65,AI/ML:29
Wysa,63,32,1.0,0.0,0.873,1.0,13.2698,10.2635,5.5079,107.1556,0.0,True,False,HealthTech AI:63,HealthTech AI:32
Aganitha,69,37,1.0,0.0,0.8116,1.0,13.7971,12.0217,5.4348,106.1942,0.0,True,False,AI/ML:69,AI/ML:37
Krutrim,64,32,1.0,0.0,0.8438,1.0,13.3125,9.1344,5.0781,106.1312,0.0,True,False,AI/ML:64,AI/ML:32
Rephrase.ai,72,37,1.0,0.0,0.8194,1.0,13.1806,9.9319,5.2639,105.5139,0.0,True,False,AI/ML:72,AI/ML:37
Niramai,69,36,1.0,0.0,0.8116,1.0,13.1159,9.5913,4.7971,104.8667,0.0,True,False,HealthTech AI:69,HealthTech AI:36
Genpact AI,81,42,1.0,0.0,0.7778,1.0,13.3951,10.3556,5.3951,104.8346,0.0,True,False,AI Services:81,AI Services:42
Glance,79,33,1.0,0.0,0.7722,1.0,13.4557,10.5456,5.4177,104.7848,0.0,True,False,AI/ML:79,AI/ML:33
Yellow.ai,59,25,1.0,0.0,0.7627,1.0,13.1017,10.2932,5.5254,104.2102,0.0,True,False,AI/ML:59,AI/ML:25
Observe.AI,64,21,1.0,0.0,0.7969,1.0,12.5938,10.9953,5.1562,104.1594,0.0,True,False,AI/ML:64,AI/ML:21
Verloop.io,62,30,1.0,0.0,0.7419,1.0,12.4032,9.5806,5.3226,102.6903,0.0,True,False,Conversational AI:62,Conversational AI:30
Sarvam AI,67,41,1.0,0.0,0.7313,1.0,12.7015,10.4075,4.8955,102.4418,0.0,True,False,AI/ML:67,AI/ML:41
Haptik,62,32,1.0,0.0,0.7419,1.0,11.9032,9.5742,5.1129,101.9226,0.0,True,False,Conversational AI:62,Conversational AI:32
Locobuzz,58,23,1.0,0.0,0.7069,1.0,12.3103,11.2362,4.931,101.3897,0.0,True,False,AI/ML:58,AI/ML:23
upGrad,338,155,1.0,0.0,0.1568,1.0,7.8462,4.9817,2.858,80.6219,0.0,True,False,EdTech:338,EdTech:155
Vedantu,350,163,1.0,0.0,0.1543,1.0,7.7186,5.3206,3.0229,80.5377,0.0,True,False,EdTech:350,EdTech:163
